"arg_sig","count"
"[l{?}]/[logreg]/[{names}]",5
"[D, M{D}]/[zoo, zooreg,zoo]/[{dim,dimnames,index}, {frequency,index}]",1
"[M{C}, M{D}, data.frame, sS]/[, SlicedData, filematrix, hyperSpec]/[{.xData}, {data,label,log,wavelength}, {dim,dimnames}, {dim}, {names,row.names}]",1
"[data.frame, missing]/[]/[{na.action,names,row.names,terms}, {}]",1
"[error, l{l{?}}]/[, par_struct]/[{names}, {}]",1
"[sS]/[CovMcd, CovSde]/[{alpha,best,call,center,cnp2,cov,crit,det,flag,iter,mah,method,n.obs,quan,raw.center,raw.cnp2,raw.cov,raw.mah,raw.wt,singularity,wt,X}, {call,center,cov,crit,det,flag,iter,mah,method,n.obs,singularity,wt,X}]",2
"[data.frame]/[keylong]/[{names,row.names}, {na.strings,names,row.names}]",1
"[sS]/[Mosaic]/[{call,data,geneLinkage,geneMetric,genes,name,sampleLinkage,sampleMetric,samples}]",1
"[l{?}]/[PlainTextDocument,TextDocument]/[{names}]",15
"[I]/[]/[{}, {levels}]",2
"[D, I, error, sN]/[]/[{}]",1
"[l{?}]/[jmdem]/[{names}]",13
"[l{l{?}}]/[ICI]/[{names}]",4
"[sC]/[jqson]/[{}]",5
"[D]/[cl_agreement,cl_proximity]/[{description,self,Size}]",1
"[D, X, sD, sX]/[]/[{}]",3
"[l{?}, l{C}, missing, sF]/[]/[{names}, {}]",1
"[M{D}, C]/[]/[{}, {dim}, {dim,dimnames}]",1
"[sS, data.frame]/[A, MIAME, ExpressionSet, MySet, UpdtA, AnnotatedDataFrame, SwirlSet]/[{x}, {.__classVersion__,data,dimLabels,varMetadata}, {.S3Class,names,row.names,x}, {.__classVersion__,annotation,assayData,experimentData,featureData,phenoData,protocolData}, {.__classVersion__,abstract,contact,hybridizations,lab,name,normControls,other,preprocessing,pubMedIds,samples,title,url}, {x,y}]",1
"[C, I, raw_NA]/[]/[{}, {levels}]",1
"[sI, I, sN]/[]/[{}]",6
"[I, sD]/[lobstr_bytes]/[{names}, {}]",1
"[D, I, L, M{C}, M{D}, M{I}, M{L}, raw_NA, sD]/[fts,zoo, zoo, zooreg,zoo]/[{dim,dimnames,frequency,index,na.action}, {dim,dimnames,frequency,index}, {dim,dimnames,index,na.action}, {dim,dimnames,index}, {dim,index,scaled:center,scaled:scale}, {dim,index}, {frequency,index,na.action,names}, {frequency,index,na.action}, {frequency,index,names}, {frequency,index}, {index,names}, {index,symbol}, {index}]",1
"[M{D}]/[prdframe]/[{deriv,dim,dimnames,parameters,sensitivities}]",3
"[M{I}, sI]/[partition]/[{dim}]",3
"[sD, M{D}, D]/[]/[{}, {dim}, {offer}, {dim,dimnames}, {names}, {accept,offer}]",2
"[C, D, I, L, missing, sC, sD, sI]/[]/[{names}, {}]",1
"[l{C}, l{l{?}}, l{?}]/[]/[{}, {names}]",5
"[sS]/[depmix.fitted, MULTINOMresponse, transInit, NORMresponse]/[{constr,family,fixed,formula,npar,parameters,x,y}, {conMat,dens,homogeneous,init,lin.lower,lin.upper,message,npars,nresp,nstates,ntimes,posterior,prior,response,transition,trDens}]",1
"[D, M{D}]/[, xyz]/[{dim}, {}]",2
"[D, I, L, M{D}, l{D}, missing, raw_NA, sD, sI, sN, sS, unevaled]/[, Individuals]/[{coordinate,dob,intern_toxic,life_duration,maxtime,mintime,n,toxic_threshold,xmax,xmin,ymax,ymin}, {dim,dimnames}, {dim}, {frequency}, {names}, {}]",1
"[l{?}, l{L}]/[]/[{}]",12
"[l{?}]/[plist]/[{names}]",3
"[l{?}]/[decompr]/[{names}]",4
"[sE]/[cg_graph]/[{}]",6
"[l{I}]/[edgeList]/[{}, {names}]",3
"[M{D}]/[deficit,xts,zoo]/[{.indexCLASS,.indexTZ,deltat,dim,dimnames,hyearstart,index,institution,river,station,tclass,tzone,unit,unit.parsed}]",7
"[D]/[POSIXct,POSIXt]/[{tzone}, {}]",3
"[C, R, sC]/[]/[{names}, {}]",2
"[M{D}, l{D}]/[]/[{}, {dim}]",4
"[M{D}, l{D}]/[mcmc, mcmc.list]/[{dim,dimnames,mcpar}, {}]",2
"[M{D}, data.frame]/[]/[{dim}, {names,out.attrs,row.names}, {names,row.names}]",5
"[D]/[Date]/[{tzone}]",1
"[M{R}]/[DNAbin]/[{dim,dimnames}]",44
"[l{?}]/[RawCov]/[{names}]",2
"[l{D}]/[]/[{details,names}]",1
"[sD, sF, sI, sL, error]/[]/[{}]",2
"[D]/[brm]/[{names}]",1
"[l{C}]/[date_names]/[{names}]",2
