package_name,function_name,is_typed
abind,abind,TRUE
abind,acorn,FALSE
abind,acorn.default,TRUE
abind,adrop,FALSE
abind,adrop.default,TRUE
abind,afill<-,FALSE
abind,afill<-.default,FALSE
abind,asub,FALSE
abind,asub.default,FALSE
actuar,[.grouped.data,TRUE
actuar,[<-.grouped.data,TRUE
actuar,adjCoef,TRUE
actuar,aggregate.portfolio,TRUE
actuar,aggregateDist,TRUE
actuar,bayes,TRUE
actuar,betaint,FALSE
actuar,bstraub,TRUE
actuar,bvar.iterative,FALSE
actuar,bvar.unbiased,TRUE
actuar,cm,TRUE
actuar,coverage,TRUE
actuar,CTE,FALSE
actuar,CTE.aggregateDist,TRUE
actuar,dburr,TRUE
actuar,dgenbeta,TRUE
actuar,dgenpareto,TRUE
actuar,dgumbel,TRUE
actuar,diff.aggregateDist,TRUE
actuar,dinvburr,TRUE
actuar,dinvexp,TRUE
actuar,dinvgamma,TRUE
actuar,dinvgauss,TRUE
actuar,dinvparalogis,TRUE
actuar,dinvpareto,TRUE
actuar,dinvtrgamma,TRUE
actuar,dinvweibull,TRUE
actuar,discretise,FALSE
actuar,discretize,FALSE
actuar,dlgamma,TRUE
actuar,dlgompertz,FALSE
actuar,dllogis,TRUE
actuar,dlogarithmic,TRUE
actuar,dparalogis,TRUE
actuar,dpareto,TRUE
actuar,dpareto1,TRUE
actuar,dpareto2,FALSE
actuar,dpearson6,FALSE
actuar,dphtype,TRUE
actuar,dpig,FALSE
actuar,dpoisinvgauss,TRUE
actuar,dtrbeta,TRUE
actuar,dtrgamma,TRUE
actuar,dzmbinom,TRUE
actuar,dzmgeom,TRUE
actuar,dzmlogarithmic,TRUE
actuar,dzmnbinom,TRUE
actuar,dzmpois,TRUE
actuar,dztbinom,TRUE
actuar,dztgeom,TRUE
actuar,dztnbinom,TRUE
actuar,dztpois,TRUE
actuar,elev,FALSE
actuar,elev.default,TRUE
actuar,elev.grouped.data,TRUE
actuar,emm,FALSE
actuar,emm.default,TRUE
actuar,emm.grouped.data,TRUE
actuar,exact,TRUE
actuar,frequency.portfolio,TRUE
actuar,grouped.data,TRUE
actuar,hache,TRUE
actuar,hache.barycenter,TRUE
actuar,hache.origin,TRUE
actuar,hierarc,TRUE
actuar,hist.grouped.data,TRUE
actuar,knots.elev,TRUE
actuar,knots.ogive,FALSE
actuar,levbeta,TRUE
actuar,levburr,TRUE
actuar,levchisq,TRUE
actuar,levexp,TRUE
actuar,levgamma,TRUE
